sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
219,5.363227844238281,-0.022548750042915344,-1.1524009704589844,0.6914258003234863
220,3.6555776596069336,-0.11982461810112,-0.46082547307014465,1.042643666267395
221,4.138086318969727,-0.2892189621925354,1.332282304763794,1.0335190296173096
222,1.799131989479065,-0.10817048698663712,1.2914907932281494,1.232471227645874
223,2.6544387340545654,-0.04249699413776398,-1.227731704711914,0.9406560063362122
224,3.6520161628723145,-0.054017551243305206,1.0976319313049316,0.5150074362754822
225,3.973119020462036,-0.15978215634822845,-0.04333800822496414,0.6995013952255249
226,2.0229344367980957,-0.09516286849975586,0.47312748432159424,0.7931087017059326
227,3.526956081390381,-0.06489438563585281,-1.1958342790603638,0.23400694131851196
228,3.3005824089050293,-0.18720178306102753,1.6764945983886719,0.8785370588302612
229,2.06703782081604,-0.147236168384552,0.5351677536964417,0.6915008425712585
230,3.8290281295776367,-0.25698748230934143,0.7572461366653442,0.024900496006011963
231,1.2262322902679443,-0.11940162628889084,0.35785236954689026,0.8687008023262024
232,3.200266122817993,-0.1639675348997116,-1.3531174659729004,0.6312894225120544
233,1.8390668630599976,-0.11394955962896347,0.4947427809238434,0.4123777747154236
234,3.5699920654296875,-0.15161451697349548,0.8859848380088806,0.3089863955974579
235,1.94740629196167,-0.1184140220284462,0.7104297876358032,0.5023425817489624
236,2.497133731842041,-0.21366599202156067,0.20983034372329712,0.7673557996749878
237,2.1788101196289062,-0.1005123183131218,-1.4448193311691284,1.3947374820709229
238,5.792834281921387,-0.17604568600654602,-0.7069445848464966,0.9978363513946533
239,4.712306022644043,-0.0759628564119339,2.7903778553009033,1.0832197666168213
240,4.857194900512695,-0.10269297659397125,1.8066726922988892,0.12589168548583984
241,1.4799797534942627,-0.00961335003376007,-0.6230100393295288,0.9447118043899536
242,5.469987392425537,-0.29835575819015503,0.48917070031166077,1.2293875217437744
243,2.8509268760681152,-0.15044906735420227,-0.6813271045684814,0.8523948192596436
244,2.360027313232422,-0.1870790719985962,-1.8419215679168701,0.8895692229270935
245,3.6430301666259766,-0.013791978359222412,-1.2001804113388062,0.49628135561943054
246,2.023494243621826,-0.1404808759689331,1.8511977195739746,1.4711459875106812
247,3.912912607192993,-0.13491015136241913,-1.073359727859497,1.006929874420166
248,2.005810499191284,-0.18512216210365295,-1.3182218074798584,1.3414435386657715
249,1.2012195587158203,-0.04979512095451355,1.0396920442581177,0.9187197685241699
250,2.865412950515747,-0.19035866856575012,-1.836626410484314,1.0476570129394531
251,3.159642219543457,-0.11607719212770462,-1.2968569993972778,0.943124532699585
252,3.3689732551574707,-0.1964612752199173,1.2183640003204346,1.2967556715011597
253,3.370866298675537,-0.22231793403625488,-2.670170307159424,0.750339686870575
254,2.3459410667419434,-0.17721495032310486,-2.2956273555755615,1.206027865409851
255,4.665323257446289,-0.19785158336162567,0.5662031173706055,0.8135766983032227
256,2.8730545043945312,-0.11781157553195953,-1.7629202604293823,1.241551160812378
257,3.8951213359832764,-0.07962247729301453,-0.1395512968301773,0.6068556904792786
258,1.3408124446868896,-0.29151931405067444,-0.14959564805030823,0.5289797186851501
259,4.0866804122924805,-0.12859772145748138,1.706535816192627,0.774658739566803
260,5.69316291809082,-0.11811694502830505,0.5539172887802124,0.5984525680541992
261,3.514678478240967,-0.0696253702044487,2.033668279647827,1.145096778869629
262,1.4527661800384521,-0.0655367448925972,-0.9125860333442688,1.082607388496399
263,3.7704288959503174,-0.2078142762184143,-2.5244736671447754,1.0851328372955322
264,3.588791608810425,-0.11752361059188843,-0.15485955774784088,0.6993457674980164
265,1.8485618829727173,-0.22413894534111023,-1.0614919662475586,0.5670642852783203
266,3.3443479537963867,-0.17084352672100067,-2.47184681892395,0.6415098905563354
267,3.514848470687866,-0.06729646027088165,2.1533524990081787,0.17673474550247192
